"parlparseid","parlparsememberid","firstname","lastname","party","MP position","Constituency position"
"uk.org.publicwhip/person/11816","uk.org.publicwhip/member/40531","Philip","Davies","con",1.61752932411162,1.1309457474422
"uk.org.publicwhip/person/11817","uk.org.publicwhip/member/40532","Daniel","Kawczynski","con",1.09036714319357,0.451906606328235
"uk.org.publicwhip/person/11823","uk.org.publicwhip/member/40537","Lorely","Burt","lib",0.738996192319311,1.24083383831254
"uk.org.publicwhip/person/11843","uk.org.publicwhip/member/40583","Robert","Flello","lab",-0.464399295190119,-0.472713650098982
"uk.org.publicwhip/person/11863","uk.org.publicwhip/member/40596","Siân","James","lab",-0.559300231401192,-1.10577806914193
"uk.org.publicwhip/person/11898","uk.org.publicwhip/member/40625","Mary","Creagh","lab",-0.655934260842296,0.162633431475065
"uk.org.publicwhip/person/11915","uk.org.publicwhip/member/40641","Peter","Bone","con",1.68928107652401,1.14447277118094
"uk.org.publicwhip/person/11921","uk.org.publicwhip/member/40650","Lyn","Brown","lab",NA,-1.05763030243847
"uk.org.publicwhip/person/11923","uk.org.publicwhip/member/40656","Tim","Farron","lib",0.449624084557106,0.226233313433036
"uk.org.publicwhip/person/11927","uk.org.publicwhip/member/40659","Stephen","Hammond","con",NA,0.85198113680563
"uk.org.publicwhip/person/11929","uk.org.publicwhip/member/40661","Adam","Afriyie","con",1.18779337952378,2.068594379854
"uk.org.publicwhip/person/11943","uk.org.publicwhip/member/40673","Barbara","Keeley","lab",-0.975824490881844,-0.0554271944925121
"uk.org.publicwhip/person/11946","uk.org.publicwhip/member/40604","Mark","Pritchard","con",0.978862468873515,0.797547236273458
"uk.org.publicwhip/person/11963","uk.org.publicwhip/member/40429","Katy","Clark","lab",-1.50025562042698,-1.41606623904882
"uk.org.publicwhip/person/11971","uk.org.publicwhip/member/40225","Jo","Swinson","lib",0.541627992283719,-0.477824117370525
"uk.org.publicwhip/person/11974","uk.org.publicwhip/member/40216","Jim","McGovern","lab",-0.99407173773453,-1.62848691257674
"uk.org.publicwhip/person/12005","uk.org.publicwhip/member/40464","Gordon","Banks","lab",-0.70537749160325,-0.644623506470566
"uk.org.publicwhip/person/13933","uk.org.publicwhip/member/40521","Phil","Wilson","lab",-0.852497397197763,-0.849640509947683
"uk.org.publicwhip/person/13934","uk.org.publicwhip/member/40221","Virendra","Sharma","lab",-0.963590295498922,0.358888901837323
"uk.org.publicwhip/person/14142","uk.org.publicwhip/member/40278","Lindsay","Roy","lab",-0.759548971170934,-1.71178107799758
"uk.org.publicwhip/person/22650","uk.org.publicwhip/member/40146","Jonathan","Evans","con",1.17745833725122,0.153870922105129
"uk.org.publicwhip/person/24697","uk.org.publicwhip/member/40274","William","Bain","lab",NA,-2.45171388330068
"uk.org.publicwhip/person/24709","uk.org.publicwhip/member/40323","Bridget","Phillipson","lab",-1.1597053586815,-0.824669544336157
"uk.org.publicwhip/person/24710","uk.org.publicwhip/member/40592","Julie","Elliott","lab",-1.04114013504046,-0.839961626060507
"uk.org.publicwhip/person/24711","uk.org.publicwhip/member/40196","Jenny","Chapman","lab",-0.57889730930774,-0.304681373561644
"uk.org.publicwhip/person/24713","uk.org.publicwhip/member/40347","Chris","Skidmore","con",1.10014728274764,0.714617291445081
"uk.org.publicwhip/person/24714","uk.org.publicwhip/member/40514","Tom","Greatrex","lab",-0.916607621405817,-1.77921267217462
"uk.org.publicwhip/person/24715","uk.org.publicwhip/member/40222","Grahame","Morris","lab",-1.23732755320544,-1.61145069639971
"uk.org.publicwhip/person/24716","uk.org.publicwhip/member/40260","Jack","Lopresti","con",1.3319349619257,0.765065095346776
"uk.org.publicwhip/person/24717","uk.org.publicwhip/member/40228","Michael","McCann","lab",NA,-1.15208092816692
"uk.org.publicwhip/person/24719","uk.org.publicwhip/member/40064","Jane","Ellison","con",NA,0.494562227158931
"uk.org.publicwhip/person/24720","uk.org.publicwhip/member/40177","Susan Elan","Jones","lab",-1.1848787379025,-0.448239385909001
"uk.org.publicwhip/person/24721","uk.org.publicwhip/member/40336","Chris","Evans","lab",-0.958936683334008,-1.15792380459292
