Person.ID,First.name,Last.name,Party,Constituency,PCON22CD,DisplayName,SocialistCampaignGroup,TribuneGroup,OneNation,TRG_Patron,ERG_Subscriber
25330,Mims,Davies,Conservative,Mid Sussex,E14000817,Mims DAVIES (Mid Sussex),0,0,0,0,0
11816,Philip,Davies,Conservative,Shipley,E14000925,Philip DAVIES (Shipley),0,0,0,0,0
25824,Alex,Davies-Jones,Labour,Pontypridd,W07000075,Alex DAVIES-JONES (Pontypridd),0,1,0,0,0
10162,David,Davis,Conservative,Haltemprice and Howden,E14000724,David DAVIS (Haltemprice and Howden),0,0,0,0,1
25815,Dehenna,Davison,Conservative,Bishop Auckland,E14000569,Dehenna DAVISON (Bishop Auckland),0,0,0,0,0
25307,Martyn,Day,Scottish National Party,Linlithgow and East Falkirk,S14000043,Martyn DAY (Linlithgow and East Falkirk),0,0,0,0,0
25620,Marsha,de Cordova,Labour,Battersea,E14000549,Marsha DE CORDOVA (Battersea),1,1,0,0,0
25402,Thangam,Debbonaire,Labour,Bristol West,E14000602,Thangam DEBBONAIRE (Bristol West),0,0,0,0,0
25695,Tan,Dhesi,Labour,Slough,E14000930,Tan DHESI (Slough),0,1,0,0,0
24873,Caroline,Dinenage,Conservative,Gosport,E14000713,Caroline DINENAGE (Gosport),0,0,0,0,0
25877,Sarah,Dines,Conservative,Derbyshire Dales,E14000664,Sarah DINES (Derbyshire Dales),0,0,0,0,0
26118,Samantha,Dixon,Labour,City of Chester,E14000640,Samantha DIXON (City of Chester),0,0,0,0,0
10854,Jonathan,Djanogly,Conservative,Huntingdon,E14000757,Jonathan DJANOGLY (Huntingdon),0,0,0,0,1
25628,Leo,Docherty,Conservative,Aldershot,E14000530,Leo DOCHERTY (Aldershot),0,0,0,0,0
25275,Martin,Docherty,Scottish National Party,West Dunbartonshire,S14000059,Martin DOCHERTY (West Dunbartonshire),0,0,0,0,0
25618,Anneliese,Dodds,Labour/Co-operative,Oxford East,E14000873,Anneliese DODDS (Oxford East),0,1,0,0,0
10172,Jeffrey M.,Donaldson,DUP,Lagan Valley,N06000009,Jeffrey M. DONALDSON (Lagan Valley),0,0,0,0,0
25316,Michelle,Donelan,Conservative,Chippenham,E14000635,Michelle DONELAN (Chippenham),0,0,0,0,0
25796,Dave,Doogan,Scottish National Party,Angus,S14000004,Dave DOOGAN (Angus),0,0,0,0,0
25870,Allan,Dorans,Scottish National Party,"Ayr, Carrick and Cumnock",S14000006,"Allan DORANS (Ayr, Carrick and Cumnock)",0,0,0,0,0
11397,Nadine,Dorries,Conservative,Mid Bedfordshire,E14000813,Nadine DORRIES (Mid Bedfordshire),0,0,0,0,0
25410,Steve,Double,Conservative,St Austell and Newquay,E14000961,Steve DOUBLE (St Austell and Newquay),0,0,0,0,0
25166,Stephen,Doughty,Labour/Co-operative,Cardiff South and Penarth,W07000080,Stephen DOUGHTY (Cardiff South and Penarth),0,0,0,0,0
25309,Peter,Dowd,Labour,Bootle,E14000581,Peter DOWD (Bootle),0,1,0,0,0
25323,Oliver,Dowden,Conservative,Hertsmere,E14000745,Oliver DOWDEN (Hertsmere),0,0,0,0,0
24957,Jackie,Doyle-Price,Conservative,Thurrock,E14000995,Jackie DOYLE-PRICE (Thurrock),0,0,0,0,1
24903,Richard,Drax,Conservative,South Dorset,E14000936,Richard DRAX (South Dorset),0,0,0,0,0
25392,Flick,Drummond,Conservative,Meon Valley,E14000811,Flick DRUMMOND (Meon Valley),0,0,0,0,0
11785,James,Duddridge,Conservative,Rochford and Southend East,E14000899,James DUDDRIDGE (Rochford and Southend East),0,0,0,0,1
25656,Rosie,Duffield,Labour,Canterbury,E14000619,Rosie DUFFIELD (Canterbury),0,1,0,0,0
25664,David,Duguid,Conservative,Banff and Buchan,S14000007,David DUGUID (Banff and Buchan),0,0,0,0,0
10180,Iain,Duncan Smith,Conservative,Chingford and Woodford Green,E14000634,Iain DUNCAN SMITH (Chingford and Woodford Green),0,0,0,0,1
11696,Philip,Dunne,Conservative,Ludlow,E14000799,Philip DUNNE (Ludlow),0,0,0,0,0
10182,Angela,Eagle,Labour,Wallasey,E14001010,Angela EAGLE (Wallasey),0,0,0,0,0
10183,Maria,Eagle,Labour,Garston and Halewood,E14000708,Maria EAGLE (Garston and Halewood),0,0,0,0,0
25130,Colum,Eastwood,Social Democratic and Labour Party,Foyle,N06000008,Colum EASTWOOD (Foyle),0,0,0,0,0
25923,Mark,Eastwood,Conservative,Dewsbury,E14000666,Mark EASTWOOD (Dewsbury),0,0,0,0,0
24743,Jonathan,Edwards,Independent,Carmarthen East and Dinefwr,W07000067,Jonathan EDWARDS (Carmarthen East and Dinefwr),0,0,0,0,0
25854,Ruth,Edwards,Conservative,Rushcliffe,E14000908,Ruth EDWARDS (Rushcliffe),0,0,0,0,0
10185,Clive,Efford,Labour,Eltham,E14000690,Clive EFFORD (Eltham),0,1,0,0,0
24710,Julie,Elliott,Labour,Sunderland Central,E14000982,Julie ELLIOTT (Sunderland Central),0,0,0,0,0
24866,Michael,Ellis,Conservative,Northampton North,E14000861,Michael ELLIS (Northampton North),0,0,0,0,0
11437,Tobias,Ellwood,Conservative,Bournemouth East,E14000584,Tobias ELLWOOD (Bournemouth East),0,0,1,0,0
25490,Chris,Elmore,Labour,Ogmore,W07000074,Chris ELMORE (Ogmore),0,1,0,0,0
25831,Natalie,Elphicke,Conservative,Dover,E14000670,Natalie ELPHICKE (Dover),0,0,0,0,1
25759,Florence,Eshalomi,Labour/Co-operative,Vauxhall,E14001008,Florence ESHALOMI (Vauxhall),0,0,0,0,0
24905,Bill,Esterson,Labour,Sefton Central,E14000916,Bill ESTERSON (Sefton Central),0,1,0,0,0
24933,George,Eustice,Conservative,Camborne and Redruth,E14000616,George EUSTICE (Camborne and Redruth),0,0,0,0,0
24721,Chris,Evans,Labour/Co-operative,Islwyn,W07000077,Chris EVANS (Islwyn),0,0,0,0,0
25805,Luke,Evans,Conservative,Bosworth,E14000583,Luke EVANS (Bosworth),0,0,0,0,0
10190,Nigel,Evans,Conservative,Ribble Valley,E14000894,Nigel EVANS (Ribble Valley),0,0,0,0,0
11408,David,Evennett,Conservative,Bexleyheath and Crayford,E14000558,David EVENNETT (Bexleyheath and Crayford),0,0,0,0,0
25910,Ben,Everitt,Conservative,Milton Keynes North,E14000821,Ben EVERITT (Milton Keynes North),0,0,0,0,0
10193,Michael,Fabricant,Conservative,Lichfield,E14000791,Michael FABRICANT (Lichfield),0,0,0,0,0
25835,Laura,Farris,Conservative,Newbury,E14000830,Laura FARRIS (Newbury),0,0,1,0,0
11923,Tim,Farron,Liberal Democrat,Westmorland and Lonsdale,E14001037,Tim FARRON (Westmorland and Lonsdale),0,0,0,0,0
13899,Stephen,Farry,Alliance,North Down,N06000013,Stephen FARRY (North Down),0,0,0,0,0
25869,Simon,Fell,Conservative,Barrow and Furness,E14000543,Simon FELL (Barrow and Furness),0,0,0,0,0
25277,Marion,Fellows,Scottish National Party,Motherwell and Wishaw,S14000047,Marion FELLOWS (Motherwell and Wishaw),0,0,0,0,0
25287,Margaret,Ferrier,Independent,Rutherglen and Hamilton West,S14000056,Margaret FERRIER (Rutherglen and Hamilton West),0,0,0,0,0
25821,John,Finucane,Sinn Féin,Belfast North,N06000002,John FINUCANE (Belfast North),0,0,0,0,0
26059,Anna,Firth,Conservative,Southend West,E14000957,Anna FIRTH (Southend West),0,0,0,0,0
25319,Colleen,Fletcher,Labour,Coventry North East,E14000649,Colleen FLETCHER (Coventry North East),0,0,0,0,0
25830,Katherine,Fletcher,Conservative,South Ribble,E14000943,Katherine FLETCHER (South Ribble),0,0,0,0,0
25903,Mark,Fletcher,Conservative,Bolsover,E14000577,Mark FLETCHER (Bolsover),0,0,0,0,0
25859,Nicholas,Fletcher,Conservative,Don Valley,E14000667,Nicholas FLETCHER (Don Valley),0,0,0,0,0
25867,Stephen,Flynn,Scottish National Party,Aberdeen South,S14000002,Stephen FLYNN (Aberdeen South),0,0,0,0,0
26086,Richard,Foord,Liberal Democrat,Tiverton and Honiton,E14000996,Richard FOORD (Tiverton and Honiton),0,0,0,0,0
25614,Vicky,Ford,Conservative,Chelmsford,E14000628,Vicky FORD (Chelmsford),0,0,1,0,0
25338,Kevin,Foster,Conservative,Torbay,E14000999,Kevin FOSTER (Torbay),0,0,0,0,0
24805,Yvonne,Fovargue,Labour,Makerfield,E14000805,Yvonne FOVARGUE (Makerfield),0,0,0,0,0
10213,Liam,Fox,Conservative,North Somerset,E14000850,Liam FOX (North Somerset),0,0,0,0,1
25380,Vicky,Foxcroft,Labour,"Lewisham, Deptford",E14000789,"Vicky FOXCROFT (Lewisham, Deptford)",0,0,0,0,0
25833,Mary,Foy,Labour,City of Durham,E14000641,Mary FOY (City of Durham),1,0,0,0,0
10901,Mark,Francois,Conservative,Rayleigh and Wickford,E14000888,Mark FRANCOIS (Rayleigh and Wickford),0,0,0,0,1
25399,Lucy,Frazer,Conservative,South East Cambridgeshire,E14000937,Lucy FRAZER (South East Cambridgeshire),0,0,0,0,0
24817,George,Freeman,Conservative,Mid Norfolk,E14000816,George FREEMAN (Mid Norfolk),0,0,1,0,0
24934,Mike,Freer,Conservative,Finchley and Golders Green,E14000703,Mike FREER (Finchley and Golders Green),0,0,0,0,0
26055,Louie,French,Conservative,Old Bexley and Sidcup,E14000869,Louie FRENCH (Old Bexley and Sidcup),0,0,0,0,0
24787,Richard,Fuller,Conservative,North East Bedfordshire,E14000841,Richard FULLER (North East Bedfordshire),0,0,0,1,0
25489,Gill,Furniss,Labour,"Sheffield, Brightside and Hillsborough",E14000921,"Gill FURNISS (Sheffield, Brightside and Hillsborough)",0,0,0,0,0
25384,Marcus,Fysh,Conservative,Yeovil,E14001060,Marcus FYSH (Yeovil),0,0,0,0,0
10217,Roger,Gale,Conservative,North Thanet,E14000852,Roger GALE (North Thanet),0,0,0,0,0
10220,Barry,Gardiner,Labour,Brent North,E14000592,Barry GARDINER (Brent North),0,0,0,0,0
24824,Mark,Garnier,Conservative,Wyre Forest,E14001058,Mark GARNIER (Wyre Forest),0,0,1,0,0
25354,Nusrat,Ghani,Conservative,Wealden,E14001023,Nusrat GHANI (Wealden),0,0,0,0,0
10225,Nick,Gibb,Conservative,Bognor Regis and Littlehampton,E14000576,Nick GIBB (Bognor Regis and Littlehampton),0,0,0,0,0
25300,Patricia,Gibson,Scottish National Party,North Ayrshire and Arran,S14000048,Patricia GIBSON (North Ayrshire and Arran),0,0,0,0,0
25793,Peter,Gibson,Conservative,Darlington,E14000658,Peter GIBSON (Darlington),0,0,0,0,0
25882,Jo,Gideon,Conservative,Stoke-on-Trent Central,E14000972,Jo GIDEON (Stoke-on-Trent Central),0,0,0,0,0
